timestamp,dpid,in_port,eth_src,dst_port,pkt_rate,byte_rate,inference_time_ms,mitigation_latency_ms,cpu_percent,predicted_label,action_taken,scenario
1787352026.6053486,2,2,00:00:00:00:00:04,0,77550.0,4187700.0,4.276,0.0,98.7,Normal,ALLOW,ddos
1787352026.611285,2,3,00:00:00:00:00:01,0,78350.0,4230900.0,4.407,0.0,98.7,Normal,ALLOW,ddos
1787352026.6188984,2,1,00:00:00:00:00:03,0,77776.0,4199904.0,4.349,0.0,103.3,Normal,ALLOW,ddos
1787352026.624682,2,2,00:00:00:00:00:04,0,77054.0,4160916.0,4.282,0.0,103.3,Normal,ALLOW,ddos
1787352026.6308265,2,3,00:00:00:00:00:01,0,78340.0,4230360.0,4.313,0.0,103.3,Normal,ALLOW,ddos
1787352026.6380603,2,1,00:00:00:00:00:03,0,72104.0,3893616.0,4.265,0.0,102.6,Normal,ALLOW,ddos
1787352026.6441004,2,2,00:00:00:00:00:04,0,74433.0,4019382.0,4.422,0.0,102.6,Normal,ALLOW,ddos
1787352026.6503608,2,3,00:00:00:00:00:01,0,72675.0,3924450.0,4.344,0.0,102.6,Normal,ALLOW,ddos
1787352026.6579998,2,1,00:00:00:00:00:03,0,72753.0,3928662.0,4.541,0.0,102.4,Normal,ALLOW,ddos
1787352026.6644042,2,2,00:00:00:00:00:04,0,75963.0,4102002.0,4.534,0.0,102.4,Normal,ALLOW,ddos
1787352026.6702812,2,3,00:00:00:00:00:01,0,73339.0,3960306.0,4.37,0.0,102.4,Normal,ALLOW,ddos
1787352026.6802156,2,1,00:00:00:00:00:03,0,73388.0,3962952.0,6.805,0.0,100.5,Normal,ALLOW,ddos
1787352026.690269,2,2,00:00:00:00:00:04,0,73258.0,3955932.0,7.428,0.0,100.5,Normal,ALLOW,ddos
1787352026.6997967,2,3,00:00:00:00:00:01,0,73936.0,3992544.0,7.076,0.0,100.5,Normal,ALLOW,ddos
1787352026.7078536,2,1,00:00:00:00:00:03,0,73799.0,3985146.0,4.911,0.0,101.5,Normal,ALLOW,ddos
1787352026.7144022,2,2,00:00:00:00:00:04,0,73992.0,3995568.0,4.602,0.0,101.5,Normal,ALLOW,ddos
1787352026.7203472,2,3,00:00:00:00:00:01,0,74353.0,4015062.0,4.339,0.0,101.5,Normal,ALLOW,ddos
1787352026.7284002,2,1,00:00:00:00:00:03,0,73667.0,3978018.0,4.662,0.0,97.5,Normal,ALLOW,ddos
1787352026.7343717,2,2,00:00:00:00:00:04,0,72830.0,3932820.0,4.358,0.0,97.5,Normal,ALLOW,ddos
1787352026.740555,2,3,00:00:00:00:00:01,0,74220.0,4007880.0,4.621,0.0,97.5,Normal,ALLOW,ddos
1787352026.7490165,2,1,00:00:00:00:00:03,0,71281.0,3849174.0,4.828,0.0,98.7,Normal,ALLOW,ddos
1787352026.7548556,2,2,00:00:00:00:00:04,0,68516.0,3699864.0,4.329,0.0,98.7,Normal,ALLOW,ddos
1787352026.7612355,2,3,00:00:00:00:00:01,0,71847.0,3879738.0,4.789,0.0,98.7,Normal,ALLOW,ddos
1787352026.7700589,2,1,00:00:00:00:00:03,0,74147.0,4003938.0,4.621,0.0,93.0,Normal,ALLOW,ddos
1787352026.7778103,2,2,00:00:00:00:00:04,0,76561.0,4134294.0,6.085,0.0,93.0,Normal,ALLOW,ddos
1787352026.7845542,2,3,00:00:00:00:00:01,0,74716.0,4034664.0,4.665,0.0,93.0,Normal,ALLOW,ddos
